name1,fb_population_1,name2,fb_population_2,link_value,ds
Oudenaarde,1959,Veurne,957,4.3153602763537466e-07,2020-03-31
Neufchâteau,943,Veurne,957,3.297897033955834e-09,2020-03-31
Leuven,6784,Veurne,957,7.548638709178724e-08,2020-03-31
Mechelen,5011,Veurne,957,6.515454856690343e-07,2020-03-31
Namur,4775,Veurne,957,1.780196761240271e-08,2020-03-31
Dinant,1693,Veurne,957,2.418620154938056e-08,2020-03-31
Sint-Niklaas,4193,Veurne,957,4.7641385421100387e-07,2020-03-31
Turnhout,7823,Veurne,957,5.297154893614493e-07,2020-03-31
Philippeville,1058,Charleroi,7325,1.4416369656309784e-05,2020-03-31
Neufchâteau,943,Charleroi,7325,1.2803877005339914e-07,2020-03-31
Waremme,1341,Charleroi,7325,7.249474307067209e-07,2020-03-31
Oudenaarde,1959,Charleroi,7325,9.046302995469092e-08,2020-03-31
Aalst,5212,Charleroi,7325,2.12936392146092e-07,2020-03-31
Dinant,1693,Charleroi,7325,9.64646445738031e-07,2020-03-31
Namur,4775,Charleroi,7325,8.976338958648698e-06,2020-03-31
Leuven,6784,Charleroi,7325,1.241456876126285e-07,2020-03-31
Hasselt,7374,Charleroi,7325,3.239867776367664e-08,2020-03-31
Brugge,4404,Charleroi,7325,1.8528556229312287e-08,2020-03-31
Dendermonde,3553,Charleroi,7325,1.9930295767952548e-07,2020-03-31
Dinant,1693,Arlon,1015,2.3063926808409306e-07,2020-03-31
Namur,4775,Arlon,1015,5.1582286642766886e-08,2020-03-31
Mons,4215,Arlon,1015,1.623206924470883e-09,2020-03-31
Antwerpen,14978,Arlon,1015,2.2252252452605412e-08,2020-03-31
Huy,1796,Arlon,1015,1.4503215719383008e-07,2020-03-31
Bastogne,723,Arlon,1015,9.094033632594227e-06,2020-03-31
Turnhout,7823,Arlon,1015,2.811140897710184e-09,2020-03-31
Tongeren,3715,Arlon,1015,3.420250852773776e-09,2020-03-31
Soignies,3158,Arlon,1015,6.9637603682035355e-09,2020-03-31
Liège,9438,Bastogne,723,2.4067848316559496e-06,2020-03-31
Waremme,1341,Bastogne,723,9.157890113144286e-08,2020-03-31
Mouscron,1384,Bastogne,723,2.974310711820605e-09,2020-03-31
Brugge,4404,Bastogne,723,1.2306964728565613e-08,2020-03-31
Verviers,3545,Bastogne,723,2.9109292272885437e-06,2020-03-31
Gent,8094,Bastogne,723,7.916894381639026e-08,2020-03-31
Huy,1796,Bastogne,723,6.551322321036486e-07,2020-03-31
Kortrijk,5076,Bastogne,723,5.406417159390226e-09,2020-03-31
Antwerpen,14978,Bastogne,723,4.835683523346591e-07,2020-03-31
Brugge,4404,Mechelen,5011,1.5459659725925168e-07,2020-03-31
Veurne,957,Mechelen,5011,6.515454856690343e-07,2020-03-31
Liège,9438,Mechelen,5011,3.5041409925755273e-08,2020-03-31
Eeklo,1569,Mechelen,5011,4.20748758631039e-07,2020-03-31
Oostende,2726,Mechelen,5011,2.248122757726501e-07,2020-03-31
Leuven,6784,Mechelen,5011,5.802052444228866e-06,2020-03-31
Bastogne,723,Mechelen,5011,4.3538543071934756e-08,2020-03-31
Gent,8094,Mechelen,5011,9.817528793387536e-07,2020-03-31
Ath,1471,Mechelen,5011,1.123799586352602e-07,2020-03-31
Turnhout,7823,Mechelen,5011,5.867391789397506e-06,2020-03-31
Eeklo,1569,Leuven,6784,1.1655056444675029e-07,2020-03-31
Virton,812,Leuven,6784,6.303266128615836e-09,2020-03-31
Gent,8094,Leuven,6784,4.519325000538373e-07,2020-03-31
Liège,9438,Leuven,6784,1.967396421593463e-07,2020-03-31
Verviers,3545,Leuven,6784,1.0756270273187203e-07,2020-03-31
Namur,4775,Leuven,6784,4.1858650503568017e-07,2020-03-31
Marche-en-Famenne,917,Leuven,6784,5.637333279607872e-08,2020-03-31
Antwerpen,14978,Leuven,6784,1.1809236846391377e-06,2020-03-31
Bastogne,723,Leuven,6784,1.1933486413346273e-08,2020-03-31
Sint-Niklaas,4193,Leuven,6784,4.054354578792489e-07,2020-03-31
Tongeren,3715,Leuven,6784,3.7407229127038544e-06,2020-03-31
Dinant,1693,Leuven,6784,1.2313000360255844e-07,2020-03-31
Roeselare,2973,Leuven,6784,5.572994690559852e-08,2020-03-31
Tournai,2314,Leuven,6784,4.1899013951563236e-08,2020-03-31
Ieper,1891,Leuven,6784,4.609017525838017e-08,2020-03-31
Waremme,1341,Leuven,6784,1.4247355627982764e-06,2020-03-31
Brussel Hoofdstad,14514,Leuven,6784,4.570442246617604e-06,2020-03-31
Halle-Vilvoorde,8423,Leuven,6784,4.74486735495609e-06,2020-03-31
Oudenaarde,1959,Leuven,6784,1.4683295958126925e-07,2020-03-31
Diksmuide,942,Leuven,6784,1.5446347697767296e-07,2020-03-31
Mouscron,1384,Leuven,6784,9.948047788593207e-08,2020-03-31
Arlon,1015,Leuven,6784,4.7328523960006896e-08,2020-03-31
Kortrijk,5076,Leuven,6784,3.105349507344607e-07,2020-03-31
Leuven,6784,Leuven,6784,0.0,2020-03-31
Roeselare,2973,Namur,4775,7.128060128625426e-09,2020-03-31
Roeselare,2973,Dinant,1693,4.7205556118316735e-08,2020-03-31
Thuin,2499,Namur,4775,2.9198498979081367e-06,2020-03-31
Dinant,1693,Dinant,1693,0.0,2020-03-31
Dinant,1693,Namur,4775,1.630115528427951e-05,2020-03-31
Veurne,957,Namur,4775,1.780196761240271e-08,2020-03-31
Hasselt,7374,Dinant,1693,2.80116375227773e-08,2020-03-31
Eeklo,1569,Dinant,1693,1.8673665305449085e-09,2020-03-31
Eeklo,1569,Namur,4775,2.11866909233091e-08,2020-03-31
Namur,4775,Namur,4775,0.0,2020-03-31
Verviers,3545,Dinant,1693,1.615783006759041e-07,2020-03-31
Verviers,3545,Namur,4775,3.153938329209155e-07,2020-03-31
Oostende,2726,Dinant,1693,7.523582760445608e-10,2020-03-31
Nivelles,4897,Dinant,1693,6.169718004332083e-07,2020-03-31
Nivelles,4897,Namur,4775,7.383399449756992e-06,2020-03-31
Ieper,1891,Namur,4775,2.8565899971095703e-09,2020-03-31
Tournai,2314,Dinant,1693,1.3598576252465035e-07,2020-03-31
Arlon,1015,Dinant,1693,2.3063926808409306e-07,2020-03-31
Kortrijk,5076,Namur,4775,1.4898613787131357e-08,2020-03-31
Kortrijk,5076,Dinant,1693,2.3896331910558195e-08,2020-03-31
Huy,1796,Namur,4775,7.800733857911529e-06,2020-03-31
Huy,1796,Dinant,1693,2.3463654886999006e-06,2020-03-31
Dendermonde,3553,Dinant,1693,9.730593138140883e-09,2020-03-31
Bastogne,723,Dinant,1693,6.589231381088503e-07,2020-03-31
Ath,1471,Dinant,1693,1.7328425120256402e-08,2020-03-31
Tongeren,3715,Dinant,1693,1.5457874157181497e-08,2020-03-31
Philippeville,1058,Turnhout,7823,1.2046101874529367e-08,2020-03-31
Eeklo,1569,Turnhout,7823,1.7607624112588513e-07,2020-03-31
Ieper,1891,Turnhout,7823,9.391992172634724e-08,2020-03-31
Tournai,2314,Turnhout,7823,4.449987717420109e-08,2020-03-31
Leuven,6784,Turnhout,7823,3.7022437860287264e-06,2020-03-31
Hasselt,7374,Turnhout,7823,3.5972764963488007e-06,2020-03-31
Thuin,2499,Turnhout,7823,1.1899884017975788e-08,2020-03-31
Oostende,2726,Turnhout,7823,9.020240048373599e-08,2020-03-31
Tielt,1659,Turnhout,7823,6.290998575306983e-08,2020-03-31
Mons,4215,Halle-Vilvoorde,8423,9.537130797423428e-07,2020-03-31
Halle-Vilvoorde,8423,Halle-Vilvoorde,8423,0.0,2020-03-31
Leuven,6784,Halle-Vilvoorde,8423,4.74486735495609e-06,2020-03-31
Arlon,1015,Halle-Vilvoorde,8423,8.935057468015257e-09,2020-03-31
Kortrijk,5076,Halle-Vilvoorde,8423,2.643791907484785e-07,2020-03-31
Veurne,957,Halle-Vilvoorde,8423,6.049624653447519e-07,2020-03-31
Mechelen,5011,Halle-Vilvoorde,8423,7.405151560081236e-06,2020-03-31
Waremme,1341,Halle-Vilvoorde,8423,8.001770696251904e-07,2020-03-31
Thuin,2499,Halle-Vilvoorde,8423,5.893256936996289e-07,2020-03-31
Brussel Hoofdstad,14514,Halle-Vilvoorde,8423,3.701764972075593e-05,2020-03-31
Oudenaarde,1959,Tongeren,3715,4.457526835865552e-08,2020-03-31
Arlon,1015,Tongeren,3715,3.420250852773776e-09,2020-03-31
Roeselare,2973,Tongeren,3715,1.5988427166825486e-08,2020-03-31
Leuven,6784,Tongeren,3715,3.7407229127038544e-06,2020-03-31
Liège,9438,Tongeren,3715,1.1840362690723637e-06,2020-03-31
Hasselt,7374,Tongeren,3715,1.959801258955721e-05,2020-03-31
Mouscron,1384,Tongeren,3715,2.6241186511610272e-08,2020-03-31
Verviers,3545,Tongeren,3715,4.424847957433234e-07,2020-03-31
Nivelles,4897,Tongeren,3715,4.6243042270769314e-08,2020-03-31
Dinant,1693,Tongeren,3715,1.5457874157181497e-08,2020-03-31
Charleroi,7325,Tongeren,3715,1.5785593578785093e-08,2020-03-31
Oostende,2726,Tongeren,3715,1.5977497539328232e-07,2020-03-31
Philippeville,1058,Tongeren,3715,5.300468731050823e-09,2020-03-31
Gent,8094,Tongeren,3715,5.661541997215598e-08,2020-03-31
Neufchâteau,943,Tongeren,3715,4.247762397706235e-09,2020-03-31
Diksmuide,942,Tongeren,3715,2.8064993217456543e-08,2020-03-31
Virton,812,Tongeren,3715,1.6443513715258535e-09,2020-03-31
Soignies,3158,Tongeren,3715,3.1710259191236386e-08,2020-03-31
Brussel Hoofdstad,14514,Tongeren,3715,1.5921549414249922e-07,2020-03-31
Sint-Niklaas,4193,Tongeren,3715,2.7404831332032945e-07,2020-03-31
Turnhout,7823,Tongeren,3715,9.816028134514414e-07,2020-03-31
Aalst,5212,Tongeren,3715,7.231978481419414e-08,2020-03-31
Oudenaarde,1959,Verviers,3545,1.3499590692410206e-08,2020-03-31
Halle-Vilvoorde,8423,Verviers,3545,1.444262276689841e-07,2020-03-31
Neufchâteau,943,Verviers,3545,7.278142453519778e-07,2020-03-31
Roeselare,2973,Verviers,3545,3.8781583260169795e-08,2020-03-31
Diksmuide,942,Verviers,3545,1.931015154987198e-09,2020-03-31
Huy,1796,Verviers,3545,2.3967105404541994e-06,2020-03-31
Brussel Hoofdstad,14514,Verviers,3545,8.015521895851048e-07,2020-03-31
Ath,1471,Verviers,3545,1.5885358891996862e-08,2020-03-31
Mouscron,1384,Verviers,3545,3.781192125518174e-08,2020-03-31
Maaseik,4347,Verviers,3545,9.737085231005943e-08,2020-03-31
Neufchâteau,943,Brussel Hoofdstad,14514,5.871183785337247e-08,2020-03-31
Waremme,1341,Brussel Hoofdstad,14514,3.2823571546424647e-06,2020-03-31
Halle-Vilvoorde,8423,Brussel Hoofdstad,14514,3.701764972075593e-05,2020-03-31
Turnhout,7823,Brussel Hoofdstad,14514,3.9859288293551385e-07,2020-03-31
Verviers,3545,Brussel Hoofdstad,14514,8.015521895851048e-07,2020-03-31
Oudenaarde,1959,Brussel Hoofdstad,14514,1.8805920335805088e-06,2020-03-31
Philippeville,1058,Brussel Hoofdstad,14514,1.2396746142411952e-06,2020-03-31
Veurne,957,Brussel Hoofdstad,14514,2.1123465253508538e-07,2020-03-31
Kortrijk,5076,Brussel Hoofdstad,14514,8.381423080864657e-07,2020-03-31
Sint-Niklaas,4193,Brussel Hoofdstad,14514,8.77354715956267e-07,2020-03-31
Mechelen,5011,Brussel Hoofdstad,14514,2.8253346988198933e-06,2020-03-31
Ath,1471,Brussel Hoofdstad,14514,3.1930131526531425e-06,2020-03-31
Mons,4215,Mons,4215,0.0,2020-03-31
Roeselare,2973,Mons,4215,4.0810850853308905e-08,2020-03-31
Verviers,3545,Mons,4215,9.666895511827726e-08,2020-03-31
Tongeren,3715,Mons,4215,1.1847444349132705e-08,2020-03-31
Neufchâteau,943,Mons,4215,7.175762318545062e-08,2020-03-31
Nivelles,4897,Mons,4215,2.6695207381763244e-06,2020-03-31
Ieper,1891,Tielt,1659,4.610459201445532e-06,2020-03-31
Roeselare,2973,Tielt,1659,4.038144442379301e-05,2020-03-31
Arlon,1015,Tielt,1659,2.9457578518232893e-10,2020-03-31
Waremme,1341,Tielt,1659,3.0546037142825315e-08,2020-03-31
Mechelen,5011,Tielt,1659,3.881378397226533e-07,2020-03-31
Nivelles,4897,Tielt,1659,4.2861769290578894e-08,2020-03-31
Charleroi,7325,Tielt,1659,8.286125277528051e-09,2020-03-31
Kortrijk,5076,Tielt,1659,1.7962343184517667e-05,2020-03-31
Eeklo,1569,Huy,1796,5.28082105157995e-09,2020-03-31
Tournai,2314,Huy,1796,6.612254335034045e-08,2020-03-31
Mouscron,1384,Huy,1796,2.973399870566985e-08,2020-03-31
Verviers,3545,Huy,1796,2.3967105404541994e-06,2020-03-31
Neufchâteau,943,Huy,1796,1.045585768145858e-07,2020-03-31
Kortrijk,5076,Huy,1796,4.087849660589449e-07,2020-03-31
Veurne,957,Huy,1796,8.657897836916345e-09,2020-03-31
Antwerpen,14978,Huy,1796,5.771565798655269e-09,2020-03-31
Turnhout,7823,Huy,1796,2.1747559204210785e-08,2020-03-31
Arlon,1015,Huy,1796,1.4503215719383008e-07,2020-03-31
Waremme,1341,Huy,1796,2.1893942263842064e-05,2020-03-31
Ieper,1891,Huy,1796,1.0954003476902357e-08,2020-03-31
Thuin,2499,Huy,1796,1.9882365220277666e-07,2020-03-31
Ath,1471,Huy,1796,5.951819190771527e-08,2020-03-31
Hasselt,7374,Oostende,2726,1.991132691596e-07,2020-03-31
Brugge,4404,Oostende,2726,2.561686021815394e-05,2020-03-31
Verviers,3545,Oostende,2726,1.6528112220535493e-08,2020-03-31
Thuin,2499,Oostende,2726,9.82994602305863e-09,2020-03-31
Diksmuide,942,Oostende,2726,3.5008990080406624e-05,2020-03-31
Tielt,1659,Oostende,2726,6.008515564708093e-06,2020-03-31
Philippeville,1058,Oostende,2726,7.275089163492787e-08,2020-03-31
Kortrijk,5076,Oostende,2726,2.354660028758414e-06,2020-03-31
Oostende,2726,Oostende,2726,0.0,2020-03-31
Bastogne,723,Oostende,2726,2.5167804017851056e-09,2020-03-31
Eeklo,1569,Liège,9438,7.737818445275424e-09,2020-03-31
Tournai,2314,Liège,9438,3.8179818371536765e-08,2020-03-31
Ieper,1891,Liège,9438,5.0583556184248465e-09,2020-03-31
Thuin,2499,Liège,9438,1.2231723097887745e-07,2020-03-31
Oudenaarde,1959,Liège,9438,1.3092267953282386e-08,2020-03-31
Halle-Vilvoorde,8423,Liège,9438,3.866171515896834e-07,2020-03-31
Huy,1796,Liège,9438,1.9576790557758366e-05,2020-03-31
Arlon,1015,Liège,9438,2.1208639099369063e-06,2020-03-31
Hasselt,7374,Liège,9438,3.156762085553663e-07,2020-03-31
Nivelles,4897,Liège,9438,7.71159655541559e-07,2020-03-31
Aalst,5212,Liège,9438,7.687904499458256e-08,2020-03-31
Charleroi,7325,Liège,9438,4.2008904093918045e-07,2020-03-31
Leuven,6784,Liège,9438,1.967396421593463e-07,2020-03-31
Liège,9438,Hasselt,7374,3.156762085553663e-07,2020-03-31
Neufchâteau,943,Hasselt,7374,8.916710349131329e-09,2020-03-31
Gent,8094,Hasselt,7374,2.608595752760443e-07,2020-03-31
Ieper,1891,Hasselt,7374,3.920093309729197e-08,2020-03-31
Dinant,1693,Hasselt,7374,2.80116375227773e-08,2020-03-31
Namur,4775,Hasselt,7374,7.11698916939631e-08,2020-03-31
Dendermonde,3553,Hasselt,7374,1.8294608115676362e-07,2020-03-31
Marche-en-Famenne,917,Hasselt,7374,2.8168792304860587e-08,2020-03-31
Mouscron,1384,Hasselt,7374,1.8518048811369663e-08,2020-03-31
Brugge,4404,Hasselt,7374,9.459324163890396e-08,2020-03-31
Maaseik,4347,Hasselt,7374,1.2787463558648123e-05,2020-03-31
Bastogne,723,Hasselt,7374,9.210924791854537e-09,2020-03-31
Charleroi,7325,Hasselt,7374,3.239867776367664e-08,2020-03-31
Liège,9438,Veurne,957,1.7189446751525214e-08,2020-03-31
Antwerpen,14978,Veurne,957,5.306390015457565e-07,2020-03-31
Brugge,4404,Veurne,957,4.745965755158025e-06,2020-03-31
Nivelles,4897,Veurne,957,4.3269145393598784e-07,2020-03-31
Maaseik,4347,Veurne,957,9.300418619568569e-09,2020-03-31
Halle-Vilvoorde,8423,Veurne,957,6.049624653447519e-07,2020-03-31
Bastogne,723,Veurne,957,1.4338021682896962e-09,2020-03-31
Verviers,3545,Veurne,957,3.509074079571623e-09,2020-03-31
Soignies,3158,Veurne,957,1.5099870966744366e-08,2020-03-31
Huy,1796,Veurne,957,8.657897836916345e-09,2020-03-31
Philippeville,1058,Veurne,957,1.3717339836888757e-08,2020-03-31
Dendermonde,3553,Veurne,957,9.55528460211244e-08,2020-03-31
Roeselare,2973,Kortrijk,5076,2.3826993811334755e-05,2020-03-31
Tournai,2314,Kortrijk,5076,3.1237777190309923e-06,2020-03-31
Aalst,5212,Kortrijk,5076,1.1998570155471667e-06,2020-03-31
Diksmuide,942,Kortrijk,5076,4.612804191375512e-06,2020-03-31
Gent,8094,Kortrijk,5076,5.615950691499166e-06,2020-03-31
Namur,4775,Kortrijk,5076,1.4898613787131357e-08,2020-03-31
Ath,1471,Kortrijk,5076,5.491242043707115e-07,2020-03-31
Marche-en-Famenne,917,Kortrijk,5076,3.836374749853021e-09,2020-03-31
Nivelles,4897,Kortrijk,5076,5.826940805706693e-08,2020-03-31
Huy,1796,Kortrijk,5076,4.087849660589449e-07,2020-03-31
Kortrijk,5076,Kortrijk,5076,0.0,2020-03-31
Tielt,1659,Kortrijk,5076,1.7962343184517667e-05,2020-03-31
Mechelen,5011,Kortrijk,5076,1.80328476546065e-07,2020-03-31
Eeklo,1569,Roeselare,2973,2.8870975179337438e-06,2020-03-31
Mons,4215,Roeselare,2973,4.0810850853308905e-08,2020-03-31
Oudenaarde,1959,Roeselare,2973,1.9161258922994067e-06,2020-03-31
Virton,812,Roeselare,2973,2.054747845684005e-10,2020-03-31
Thuin,2499,Roeselare,2973,2.3100660933998105e-08,2020-03-31
Leuven,6784,Roeselare,2973,5.572994690559852e-08,2020-03-31
Ieper,1891,Roeselare,2973,2.3131795345601142e-05,2020-03-31
Roeselare,2973,Roeselare,2973,0.0,2020-03-31
Liège,9438,Roeselare,2973,1.9445865392720415e-08,2020-03-31
Mouscron,1384,Roeselare,2973,3.1716321669469365e-06,2020-03-31
Veurne,957,Roeselare,2973,7.868762725693491e-06,2020-03-31
Soignies,3158,Roeselare,2973,2.0514920007758977e-07,2020-03-31
Philippeville,1058,Roeselare,2973,1.6873791287751332e-08,2020-03-31
Bastogne,723,Roeselare,2973,5.076903944024767e-09,2020-03-31
Huy,1796,Roeselare,2973,5.016513559997341e-09,2020-03-31
Kortrijk,5076,Roeselare,2973,2.3826993811334755e-05,2020-03-31
Thuin,2499,Waremme,1341,5.2087522981921e-07,2020-03-31
Soignies,3158,Waremme,1341,4.819904221374582e-07,2020-03-31
Waremme,1341,Waremme,1341,0.0,2020-03-31
Sint-Niklaas,4193,Waremme,1341,8.998207497784133e-09,2020-03-31
Verviers,3545,Waremme,1341,4.538306310345575e-06,2020-03-31
Brussel Hoofdstad,14514,Waremme,1341,3.2823571546424647e-06,2020-03-31
Kortrijk,5076,Waremme,1341,4.969851997492708e-08,2020-03-31
Gent,8094,Waremme,1341,4.7573841775528985e-08,2020-03-31
Bastogne,723,Waremme,1341,9.157890113144286e-08,2020-03-31
Oostende,2726,Waremme,1341,5.9840254559759e-08,2020-03-31
Brussel Hoofdstad,14514,Marche-en-Famenne,917,3.436616254060667e-07,2020-03-31
Maaseik,4347,Marche-en-Famenne,917,1.5554659527526908e-08,2020-03-31
Nivelles,4897,Marche-en-Famenne,917,2.2059115640991712e-07,2020-03-31
Mouscron,1384,Marche-en-Famenne,917,3.1658407527508196e-08,2020-03-31
Gent,8094,Marche-en-Famenne,917,1.4168138623993882e-08,2020-03-31
Mechelen,5011,Marche-en-Famenne,917,7.059817624884183e-08,2020-03-31
Tielt,1659,Marche-en-Famenne,917,9.227417820577762e-08,2020-03-31
Virton,812,Marche-en-Famenne,917,5.355994915546031e-07,2020-03-31
Neufchâteau,943,Oudenaarde,1959,9.666424078088002e-09,2020-03-31
Virton,812,Oudenaarde,1959,6.236615972658036e-10,2020-03-31
Oudenaarde,1959,Oudenaarde,1959,0.0,2020-03-31
Maaseik,4347,Oudenaarde,1959,3.3492937630941314e-08,2020-03-31
Eeklo,1569,Oudenaarde,1959,1.8126300997824986e-06,2020-03-31
Ieper,1891,Oudenaarde,1959,1.7923974940486614e-06,2020-03-31
Verviers,3545,Oudenaarde,1959,1.3499590692410206e-08,2020-03-31
Roeselare,2973,Oudenaarde,1959,1.9161258922994067e-06,2020-03-31
Antwerpen,14978,Oudenaarde,1959,3.8456028374473336e-07,2020-03-31
Waremme,1341,Oudenaarde,1959,4.7015992180454255e-08,2020-03-31
Aalst,5212,Oudenaarde,1959,1.5164073513855911e-05,2020-03-31
Tielt,1659,Oudenaarde,1959,4.3944090847749675e-06,2020-03-31
Huy,1796,Oudenaarde,1959,2.0301643442398632e-08,2020-03-31
Dinant,1693,Oudenaarde,1959,1.2413554934827556e-08,2020-03-31
Mouscron,1384,Oudenaarde,1959,1.3073803643561715e-06,2020-03-31
Oudenaarde,1959,Nivelles,4897,2.0258596938196687e-07,2020-03-31
